mw_freebase,alogp,hba,hbd,psa,rtb,num_ro5_violations,cx_most_bpka,cx_logp,cx_logd,full_mwt,aromatic_rings,heavy_atoms,qed_weighted,mw_monoisotopic,hba_lipinski,hbd_lipinski,num_lipinski_ro5_violations,np_likeness_score,PCT_IHB_3D7,pXC50_3D7
528.7,4.84,6.0,1.0,66.93,9.0,1.0,8.8,3.48,2.06,528.7,3.0,39.0,0.43,528.31,7.0,1.0,1.0,-0.9,94.0,6.09857
552.1,5.79,7.0,2.0,102.48,9.0,2.0,9.24,4.87,3.03,552.1,4.0,38.0,0.27,551.1758,8.0,3.0,2.0,-1.58,100.0,6.00393
489.54,4.43,6.0,2.0,66.85,9.0,0.0,9.54,3.45,1.26,579.57,3.0,35.0,0.43,489.2239,6.0,2.0,0.0,-0.99,100.0,6.79958
434.39,6.02,5.0,1.0,37.39,5.0,1.0,9.78,5.71,3.38,548.41,3.0,28.0,0.53,433.0782,4.0,1.0,1.0,-1.25,91.0,5.96201
572.61,4.53,5.0,1.0,90.03,7.0,1.0,8.31,4.07,4.07,572.61,3.0,40.0,0.42,572.1705,8.0,1.0,1.0,-1.29,99.0,6.44885
452.58,5.46,6.0,3.0,87.66,7.0,1.0,10.71,5.11,5.05,452.58,3.0,32.0,0.41,452.177,6.0,3.0,1.0,-0.88,99.0,6.12396
480.41,4.86,3.0,1.0,48.57,4.0,0.0,7.62,4.19,3.76,480.41,3.0,31.0,0.58,479.1208,5.0,1.0,0.0,-0.72,97.0,6.09866
288.76,4.0,5.0,1.0,50.7,3.0,0.0,1.49,3.94,3.94,288.76,3.0,19.0,0.79,288.0236,4.0,1.0,0.0,-2.47,95.0,6.1111
331.37,4.54,4.0,0.0,44.37,6.0,0.0,8.31,4.46,4.46,331.37,4.0,25.0,0.49,331.1208,4.0,0.0,0.0,-1.37,98.0,6.12581
469.67,6.25,3.0,1.0,35.58,6.0,1.0,8.93,6.7,5.16,583.7,3.0,35.0,0.46,469.3093,4.0,1.0,1.0,-1.47,89.0,6.06405
434.51,4.44,5.0,4.0,109.37,5.0,0.0,5.32,5.13,5.1,434.51,5.0,33.0,0.24,434.1967,8.0,4.0,0.0,-0.93,87.0,6.03322
370.45,5.27,4.0,2.0,92.47,5.0,1.0,8.31,5.72,5.65,370.45,2.0,27.0,0.55,370.1893,6.0,2.0,1.0,-1.4,95.0,6.22981
519.69,5.94,3.0,3.0,68.36,5.0,2.0,10.26,5.28,2.67,519.69,4.0,39.0,0.31,519.2886,5.0,3.0,2.0,-0.47,85.0,5.92355
311.35,2.07,5.0,2.0,92.15,4.0,0.0,8.31,3.13,3.1,311.35,3.0,23.0,0.77,311.1382,7.0,2.0,0.0,-1.39,89.0,6.45464
360.89,4.05,4.0,1.0,45.59,4.0,0.0,8.34,3.64,2.66,360.89,2.0,25.0,0.84,360.1605,4.0,1.0,0.0,0.33,98.0,7.19707
430.58,4.96,4.0,2.0,75.01,5.0,0.0,8.96,4.43,2.85,544.6,4.0,31.0,0.47,430.1827,5.0,3.0,0.0,-1.29,97.0,6.04221
574.59,6.76,4.0,2.0,70.67,16.0,2.0,8.67,6.68,5.39,574.59,2.0,39.0,0.17,573.2525,6.0,2.0,2.0,-1.09,99.0,6.1582
570.5,5.93,5.0,2.0,73.49,8.0,2.0,7.43,5.88,5.56,570.5,4.0,39.0,0.26,569.1761,7.0,2.0,2.0,-1.79,99.0,6.7334
472.45,7.02,3.0,0.0,33.2,4.0,1.0,1.12,6.35,6.35,472.45,3.0,32.0,0.38,472.1044,3.0,0.0,1.0,-1.34,100.0,6.97206
357.82,4.26,3.0,2.0,54.02,6.0,0.0,7.31,3.29,3.04,357.82,3.0,25.0,0.65,357.1044,4.0,2.0,0.0,-1.8,100.0,6.50118
